jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Mechanical Engineer/Electrical engineer/Electronic engineer,Hopes Technology,Chennai,0-5years,570000 - 880000 INR,"CT.KAVITHA.9787152003.We are urgently requirement wanted for fresher/experience. Researching, interpreting, and applying information, developing solution. Mechanical engineer to be technically minded. Free food and accommodation also provided.",MaintenanceExecutive|MaintenanceTechnician|DesignEngineer|Autocad|ITIDraftsmanship|Maintenance|MaintenanceEngineer|Draftsman|
Civil Engineer,Q Visas Immigration,Australia|Canada,2-7years,Not Specified,"preparing reports, designs and drawings |  making calculations about loads and stresses |  selecting appropriate construction materials |  providing technical advice |  obtaining planning and/or building regulations approval |",CivilEngineer|SiteSupervisor|DiplomaCivil|Civilengg|SiteEngineer|ConstructionEngineer|StructuralEngineer|StructuralDesignEngineer|StructuralDesign|BridgeEngineer|Civil|Structure|Projectengineer|
Mechanical Engineer,Q Visas Immigration,Australia|Canada,2-7years,3010000 - 5310000 INR,"Plan and manage projects, and prepare material, cost, and timing estimates, reports and design specifications for machinery and systems |  Design power plants, machines, components, tools, fixtures, and equipment",MechanicalEngineer|AutomobileEngineer|DesignEngineer|ManufacturingEngineering|InjectionMolding|CncOperator|MaintenanceSupervisor|Mining|ThermalPowerPlant|AutoCad|MaintenanceEngineer|ServiceEngineer|
Electrical Engineer / Electronics Engineer,The NaukriWala,Pune|Nagpur,0-2years,180000 - 200000 INR,Requirement for the position of Production / Quality Engineer.,ElectricalEngineer|ElectronicsEngineer|ProductionEngineer|QualityEngineer|
Software Engineer Cloud Engineer,Astral Minds Consulting,Bengaluru/Bangalore|Pune,8-13years,3000000 - 6000000 INR,"Role-Software Engineer - #Cloud ( Tier1 ) |   Location - India ,Remote |",CloudEngineer|SoftwareEngineer|
senior test engineer Senior Testing Engineer  Testing Engineer Test Engineer,3 Minds ESolutions Private Limited,Mumbai|Pune|MumbaiCity|NaviMumbai|Thane,0-5years,Not Specified,REMMOTE TILL COVID URGENT REQUIREMENT OF TEST ENGINEER IN MUMBAI,SoftwareTestEngineer|TestingEngineer|GIC|GENERALINSURNCE|Insurance|SoftwareTestingEngineer|SoftwareTesting|ManualTesting|
Software Engineer-cloud Software Engineer  Cloud Engineer,Astral Minds Consulting,Bengaluru/Bangalore|Pune,8-13years,3000000 - 6000000 INR,"Role-Software Engineer - Cloud ( Tier1 ) |  Location - India ,Remote |",CloudEngineer|SoftwareEngineer|Cloud|Java|Python|RESTful|
Jr. Software Engineer,Cravita Technologies India Private Limited,Pune,Fresher,120000 - 180000 INR,Cravita is looking for Fresher Engineers who are having excellent technical skills in either JAVA/.NET/PHP/Python/Software Testing/Angular or Digital Marketing |   |   |,Freshers|WebDeveloper|SoftwareEngineer|Java|Python|Php|HTML|CSS|DJANGO|C#|.NET|ASP.NET|ManualTesting|AutomationTesting|SoftwareTesting|
Site Civil Engineer,Pradeep Ramprakash Rastogi ( Proprietor of Precision Weighing Systems),Pune,0-1years,120000 - 140000 INR,"Supervision of construction site at Bibvewadi, Pune",CivilEngineer|SiteEngineer|Civilengg|DiplomaCivil|SiteSupervisor|
Safety Officer/ Engineer,C P Careers Private Limited,Ahmedabad|Allahabad/Prayagraj,1-4years,100000 - 250000 INR,Looking for safety officer with 1-4 yrs experience for PAN India locations with B.Tech/B.E in Mechanical or Electrical Diploma in Health & Safety Engineer (NEBOSH/IOSH) |,SafetyOfficer/Engineer|
Software Engineer - Senior,Magnify Placements,Chennai|Noida,4-7years,3000000 - 4000000 INR,"Job Description |  Role : |  As a Engineer, your leadership shall be critical in ensuring engineering rigor and |  driving innovation at scale. You shall be accountable for architecting, designing and |  implementing complex capabilities, mentoring engineers",softwareframeworksandcomplexdistributedenterprisesystems.ExpertiseinArchitecture|Design|Development|Trouble-shooting|TestAutomationandPerformanceTuningandBenchmarkingofcomplexenter|Algorithms|datastructures|DesignPatterns|
"Civil Site Engineer, Electrical Engineer, Mechanical Engineer, SITE",Sai Groups of Organization,Bengaluru/Bangalore|Chennai,6-10years,1050000 - 1580000 INR,Please apply here .. ! Eligible candidates will receive a call from our Hr team. |    |,CivilEngineer|SiteEngineer|Civilengg|ConstructionEngineer|Mechanicalengineer|DiplomaCivil|SiteSupervisor|Projectengineer|
Aeronautical Engineer /Mechanical Engineer / Electrical Engineer - Call 9520909122,Manheer Singh (Proprietor Of BigBoss Decor),Bengaluru/Bangalore|Hyderabad/Secunderabad,0-2years,350000 - 620000 INR,"produce specifications for, design, develop, manufacture and install new or modified mechanical components or systems. Mechanical engineers need to be technically minded, able to demonstrate numerical and scientific ability and have problem-solving.",MechanicalEngineer|Electrical|Mechanicaldesignengineer|ElectricalEngineer|Electricalofficer|TeamHandling|GroupLeader|AssistantTeamLeader|Trainer|SubjectMatterExpert|TeamCoach|TeamLeader|
Automobile Engineer /Automotive Engineer/Mechanical Engineer,HR Factor,Chennai,0-5years,Not Specified,Urgent job Openings for Automobile Engineers/Automotive Engineer/Mechanical Engineer fresher's also can apply for the job. |      Eligible candidates will be offered spot offer letter,AutomobileEngineer|AutomotiveEngineer|MechanicalEngineer|
Trainee Engineer - Assistant Engineer/Engineer - Freshers,Fazo Software,Hyderabad/Secunderabad,0-5years,200000 - 450000 INR,Good Opportunity For Trainee Engineer - Assistant Engineer/Engineer - Freshers.,InstrumentationEngineering|GoodCommunication|btech|BE|MechanicalEngineering|electricalengineerengineering|cnpl|ElectricalEngineering|Engineering|engineer|Fresher|assistantengineer/engineer|DiplomaHolder|
Devops Engineer,Novateur IT Technologies India Private Limited,Bengaluru/Bangalore|Mumbai,5-10years,600000 - 1400000 INR,	Devops Engineer with Kubernetes |  	Either AWS / Azure/ GCP/ICP experience is mandatory |  	Should Have Done Application Migration + Monitoring,Icp|Devops|Kubernetes|AWS|Azure|Gcp|
CAD Engineer,Hiremount Solutions Private Limited,Chennai|Hyderabad/Secunderabad,2-5years,420000 - 750000 INR,Urgent Requirement,Design|Catia|Rooftop|Autocad|ground|mount|DesignEngineering|3DModeling|SolidWorksSolarPv|2dDrafting|
Design Engineer,ITbridge Consultants Private Limited,Bengaluru/Bangalore|Delhi,0-5years,350000 - 650000 INR,"Fresher Design Engineer, Design Engineer Mechanical, Electrical, Embedded Systems, Civil",DesignEngineer|DesignEngineerMechanical|Electrical|EmbeddedSystems|Civil|
Storage Engineer,Yashodhara Management And Company,Pune,10-12years,Not Specified,"We are looking for unity with VNX storage analyst who is having 10+ Years of exeperience. |   |  Title: Principal engineer Unity |  24/7 shift(rotational shift)  |  Location – Pune Dell Office, Hinjewadi. |  Employment type:Contractual |  Duration: long term",StorageEngineer|StorageAreaNetworks|PrincipalEngineer|vnxSANStorage|StorageAdministrator|StorageDomain|
Desktop Engineer,Vitestork Consulting Private Limited,Chennai,0-1years,Not Specified,Desktop Support Engineer. |  Fresher. |  Immediate Joining. |  Salary 10000,HardwareEngineer|DesktopSupportEngineer|HardwareEngineerHardware|Freshers|Undergraduates|GraduateFresher|Graduates|DesktopEngineer|CustomerSupportEngineer|Networkengineer|Networking|Lan|Wan|Routers|NetworkAdministrator|Storage|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
