jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Project Coordinator,Nscript Web Studios Private Limited,Chennai,5-8years,500000 - 900000 INR,"Looking for a candidate who have experience in IT or Web designing/development company |  Must speak Tamil, Hindi and English |  Must have a Strong client-facing and teamwork skills",ClientCoordination|Hindi|ItProjectManager|ProjectCoordinator|Pmo|ScrumMaster|
MANAGER JAVA + UI,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-12years,1000000 - 1600000 INR,"Job Description |   |  Strong understanding of Java, Spring framework, UI Design & design patterns. |   |   |   |   Good understanding of HTML , CSS & JavaScript . |   |   Should have working experience in Java web application development , Java |   |   Must be able to wo",Sybase/SQLServer|Unix/shellscripting|CI/CD|Cucumber/BDD|UIDesign&designpatterns|CSS&JavaScript|Java|AdvancedJava|SpringFramework|Javascript|Css3|Html5|Bootstrap|jQuery|Docker|Kubernates|JUnit|Git|HTML|Unix|
Project Manager,Adept Recruiting,Mumbai,5-10years,1000000 - 2000000 INR,Hiirng Project Manager for leading General Insurance Company.,ProjectManagement|ProjectExecution|ProjectPlanning|ProjectImplementation|ProjectScheduling|CoreInsuranceSystems|Portals|WebServices|Middleware|SQLServer|WebServices|Java|.NET|Mvc|
Engineering Manager required in Canada (Contact 9654855001),Ameuro Migration Private Limited,Canada,2-7years,4860000 - 5430000 INR,Contact Tanya - 9654855001 |       Middle level to Senior level profile  |       |,EngineeringManager|engineer|ProductionManager|manufacturingmanager|automobile|Design|Textile|automotive|mechanicalengineer|ProjectManager|Quality|QualityManager|
Production Manager Req in CANADA & AUSTRALIA,Pear Visa Immigration Services Private Limited,Australia|Canada,3-13years,7550000 - 8430000 INR,Production Manager Required who can relocate quickly to CANADA & AUSTRLIA,ProductionManager|ProductionHead|FactoryManager|ProductionExecutive|ProductionEngineer|ProductionInCharge|ProductionOfficer|ProductionSupervisor|
PROJECT MANAGER,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-12years,1500000 - 2500000 INR,"Job Summary |   |  The Role |   |  The Project Manager (PM) will fuel the growth of the company by working with four key stakeholders: internal engineering teams, Engagement Managers, client managers and Soroco’s senior leadership to deliver proprietary systems",BACKEND|ProjectManager|AGILE|Sdlc|Java|.NET|ASP.NET|PYTHON|
Coordinator - Female For Software Company in Mumbai,Sanda Office Management Services Private Limited,Mumbai|MumbaiCity,1-3years,150000 - 250000 INR,"A Coordinator works closely with the team members, managers and leads to help deliver major organizational projects efficiently. The Project Coordinator manages the information distribution, report collation and communication support.           |    |",Coordinator|Co-ordination|Assistant|
Project/Program Manager in Oman,Serviam Consultancy Services,Oman,12-20years,Not Specified,12-15 years of experience of project / program management. |  Minimum of 5 years of experience in banking including Conventional (including Retail & Corporate) & Islamic (products) |  Knowledge of good practices of banking Audit and IT Security . |,"""programmanagement""|Banking|Pmp|Prince2|"
Hiring for a New Product Dvelopment Quality (NPD) for Experience as well as Fresher,Career Mantra Management Services,Mumbai|Pune,2-4years,229999 - 560000 INR,"Role & Responsibilities Required:Lead the new product design & development quality function. Ensure first time right solution goes to the customer (Nature of products:Embedded electornics, HW & SW). Good Communication& interpersonal skills.",APQP|Ppap|IATF|NPD|Iso9001|NewProductDevelopment|Dfmea|Pfmea|Quality|
