jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Join BPO ~ Banking process ~ Voice ~ Fresher ~ Immediate Joining !!!!! Apply Now !!!! @ Vadodara,MyAccounts Online Softwares Private Limited,Vadodara,0-2years,50000 - 150000 INR,"*Willing to work in rotational shifts |   * Graduation in any specialization |   *  Want Proficiency in English  |            |            |   Regards, |   Nitu Choudhary |   Call: 7350853129 |   Email Your CV on: nitu.gautamconsultancy @gmail.com(no space)",Bpo|Graduate|Fresher|CallCenter|Inbound|VoiceProcess|Ites|Domestic|CommunicationSkills|BankingProcess|CustomerCare|CustomerService|CustomerSupport|calling|Outbound|Telecaller|Dayshift|English|Nightshift|ProblemSolving|CustomerHandling|Kpo|
Crystal Reports Developer,Diraa HR Services,US,6-10years,Not Specified,|  Responsibilities will include creating and delivering ad hoc and routine reports as requested and building/supporting other team members usage of their reports on Crystal Enterprise. Maintenance of the database integrity is crucial.,CrystalReportsDeveloper|Strongdebugging/problemsolvingandanalyticalskillsarerequiredExperiencecoding/optimizing/analysingTransact-SQLqueriesandstoredproceduresExperienceusingSQLtools|NotificationServices.|Dts|SSIS|
Electrical design engineering,Vinod Kumar Boddu(Proprietor of NextGen Exporters),Coimbatore,0-4years,Not Specified,"Design engineers study, research and develop ideas for new products and the systems used to make them and also modify existing products or processes to increase efficiency or improve performance.",StrongmathsandITskillsAcreativeflairanddesignabilityGoodvisualandspatialawarenessAttentiontodetailProblemsolvingWrittenandoralcommunication|Commercial|awareness|Excellentprojectmanagementskills|
Project Engineer,Sipra Labs Limited,Hyderabad/Secunderabad,3-7years,250000 - 400000 INR,"3+ years of Proven working experience in Design and Development of Mobile application and Hybrid app development |  Strong Development Experience in Ionic, Apache Cordova (capacitor), etc. |  Experience with one or more JavaScript frameworks such as Angula",Self-Learner|AnalyticalMind|LogicalreasoningSelf-motivatedandquicklearnerStrongcommunicationskillstointeractwiththeclientStrongproblemsolving/troubleshootingskills|
System Engineer,Ampler Technologies Private Limited,Hyderabad/Secunderabad,1-5years,Not Specified,"Looking for an experienced Systems Engineer to join our team! As a Systems Engineer, you will be responsible for planning, implementing and maintaining new and existing systems and infrastructure and will have an opportunity to advance in your career",computernetworking;hardware;Problem-solvingskills;Criticalthinkingskills;Communicationskills.|
Urgently Required Network Engineer for L3,S S I Security And Facilities Services,Hyderabad/Secunderabad,2-4years,380000 - 420000 INR,·         Collaborate & partner with the sales team to identify customer business need in competitive situations |     |    ·         Assist sales team to respond to technical specifications of Tenders and RFPs by providing system configurations and recommend,Goodanalyticalandproblem-solvingskills.|
Full Stack Developer,Gautam Consultancy,Delhi,3-4years,Not Specified,Developing front end website architecture. Designing user interactions on web pages. Developing back end website applications. Creating servers and databases for functionality.,ExcellentWrittenAndVerbalCommunicationSkills|withastrongattentiontodetailandaheadforproblemsolving.|
Golden Chance For Freshers! BPO Jobs ~ Voice Process ~ Banking Domain ~ E-commerce @Vadodara/Baroda,Mukesh Oil Corporation,Vadodara,0-2years,100000 - 150000 INR,"-Required candidates with fluent English |  -Day shift for girls |  -Graduates, in any specialization preferred |   |  Regards, |  Himanchi Kothari (HR Consultant) |  Call or Whatsapp on : 7069081113 |  Email your CV on : himanchikothari.gc @gmail.com ( no space) |",Freshers|Bpo|e-commerce|Graduates|Bpo|BankingProcess|VoiceProcess|CallCenter|FluentEnglish|CommunicationSkills|Aviation|Hospitality|CustomerHandling|CustomerService|CallHandling|CustomerComplaints|CustomerCare|ProblemSolving|Kpo|
Metallurgical Engineering,Manheer Singh (Proprietor Of BigBoss Decor),Mumbai|Pune,2-7years,Not Specified,Multiple Openings for Metallurgical Engineer with Our Client located at Mumbai/Pune.,MetallurgicalEngineer|AnalyticalSkills|Mathandscienceskills|TeamCoordination|Problem-solvingskills|CommunicationSkills|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Urgent Hiring for Ground Staff, Air ticketing and Cabin Crew in Airline.",Professional Hunters Consultancy,Chennai|Kolkata,0-2years,Not Specified,"We are hiring staff for 3 job profile - Ground Staff, Air ticketing and Cabin crew...",CommunicationskillsPlanning|OrganizingResponsibility|Teamwork|Problem-solvingskills|Interpersonal|abilitiesFlexibility|SoftSkills|ManagementSkills|Professional|
Customer Service  Executive,C P Careers Private Limited,Chennai,0-2years,140000 - 250000 INR,"Answer incoming calls and respond to customer's emails · Management and resolve customer complaints,",Clearcommunicationskills|Problem-solvingskills|Patience|PositiveAttitude|Listeningskills.|
Sales Manager - Day Shift,Diraa HR Services,Bengaluru/Bangalore,5-9years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheets, and PowerPoint.",SalesManagement|Sales|Target|CommunicationSkills|InterpersonalSkills|ProblemSolving|Presentation|OrganizationalSkills|Powerpoint|Spreadsheets|
URGENT OPENINGS FOR MECHANICAL PRODUCTION,C P Careers Private Limited,Coimbatore,0-5years,250000 - 350000 INR,"Helps manufacturing staff achieve company goals by communicating expectations, planning, monitoring, and evaluating job results",commercialawareness.theabilitytoworkwellunderpressure.problem-solvingskills.teamworkingskills.relevanttechnicalknowledge.goodleadershipskills.|
Sales Manager - US Shift,Comtech Exports Private Limited,Bengaluru/Bangalore|Chennai,4-8years,800000 - 1200000 INR,"Proven B2C Sales track record of exceeding targets, 2 years of Sales experience |   Excellent communication, interpersonal, problem-solving, presentation, and organizational skills. |   Working knowledge of Salesforce, spreadsheet, and PowerPoint",Powerpoint|Spreadsheets|Salesforce|Organizational|ExcellentCommunication|InterpersonalSkills|ProblemSolving|Presentation|Target|Sales|BusinessDevelopment|CommunicationSkills|
Budget executive,Aspire Group of Services,Delhi,5-10years,Not Specified,|                                  |,
Need B- tech  civil engineer 8601764867,Saksham Innovations Private Limited,Lucknow,0-5years,Not Specified,Building project Qualified - B tech civil engineer |  Profile - supervisor or foreman construction minimum experience in 0 year to 1 year in construction field,problem-solvingskills|abilitytoworktodeadlinesandwithinbudgets.|
Business Development Manager (Currently WFH),Hudson Agile Ventures Private Limited,Mumbai,2-4years,400000 - 550000 INR,Developing growth strategies and plans. Managing and retaining relationships with existing clients. Increasing client base. Having an in-depth knowledge of business products and value proposition.,OrganizationalSkills|CommunicationSkills|BasicComputer/Technicalskills|InterpersonalSkills|NegotiatingSkills|Collaborationskills|Problem-solvingskills|AnalyticalSkills|Self-motivated|Flexibilityandadaptability.|
Software Developer Trainee  software engineers,Infoworks Data Private Limited,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
Senior Software Engineer,Brainworks Business Solutions Private Limited,Bengaluru/Bangalore,5-12years,Not Specified,Design and implement applications using BigData technologies. |   Design and implement distributed applications using cloud specific services. |   Implement Hybrid cloud approaches to handle data synchronization in between on-premises and cloud. |,Map-Reduce|Tez|Problemsolvingandprogrammingskills|experienceinCloudbasedservices|Hive|Pig|Spark|Sqoop|Java|BigDataTechnologies|Python|Big|
Junior Engineer,Brainworks Business Solutions Private Limited,Bengaluru/Bangalore,1-2years,300000 - 350000 INR,Position : Junior Engineer |  Experience : 1 to 2 |  Package : up to 3 lac,GoodknowledgeReactJS|stronginproblemsolvingandanalyticalskills|DebuggingandReviews|
Engineer,Shhy India Private Limited,Bengaluru/Bangalore,2-4years,400000 - 500000 INR,Position : Engineer |  Experience : 2 to 4 |  Package : up to 5 lac,GoodknowledgeFullStack|stronginproblemsolvingandanalyticalskills|DebuggingandReviews|
Regulatory Affairs,Comtech Exports Private Limited,Hyderabad/Secunderabad,3-4years,Not Specified,|    1.	Be familiar with regulatory affairs. |    2.	Have rich experiences in DMF compilation. |    3.	Good communication skills and strong coordinating ability. |    4.	Understand China's regulatory laws would be treated with top priority. |,CommunicationSkills|NegotiationSkills|ProblemSolvingSkills|
MBA finance,Advance Jobs Private Limited,Delhi,5-7years,Not Specified,|                                  |,
Production Manager,Gautam Consultancy,Delhi|Noida,5-10years,550000 - 1050000 INR,we are hiring for Production Manager for evaluate machine resources to ensure productivity and minimal downtime Oversee a workforce of employees in the manufacturing department Strive to reduce expenses and increase productivity across all products.,projectProductionmanager|Inventorymanager|ManagementSkills|organisationefficiency|Leadership|InterpersonalSkills|problemsolvingskillsITandnumericalskills|CommunicationSkills|teamworkingskills.|
Join BPO ~ Banking process ~ Voice ~ Fresher ~ Immediate Joining !!!!! Apply Now !!!! @ Vadodara,MyAccounts Online Softwares Private Limited,Vadodara,0-2years,50000 - 150000 INR,"*Willing to work in rotational shifts |   * Graduation in any specialization |   *  Want Proficiency in English  |            |            |   Regards, |   Nitu Choudhary |   Call: 7350853129 |   Email Your CV on: nitu.gautamconsultancy @gmail.com(no space)",Bpo|Graduate|Fresher|CallCenter|Inbound|VoiceProcess|Ites|Domestic|CommunicationSkills|BankingProcess|CustomerCare|CustomerService|CustomerSupport|calling|Outbound|Telecaller|Dayshift|English|Nightshift|ProblemSolving|CustomerHandling|Kpo|
Crystal Reports Developer,Diraa HR Services,US,6-10years,Not Specified,|  Responsibilities will include creating and delivering ad hoc and routine reports as requested and building/supporting other team members usage of their reports on Crystal Enterprise. Maintenance of the database integrity is crucial.,CrystalReportsDeveloper|Strongdebugging/problemsolvingandanalyticalskillsarerequiredExperiencecoding/optimizing/analysingTransact-SQLqueriesandstoredproceduresExperienceusingSQLtools|NotificationServices.|Dts|SSIS|
Electrical design engineering,Vinod Kumar Boddu(Proprietor of NextGen Exporters),Coimbatore,0-4years,Not Specified,"Design engineers study, research and develop ideas for new products and the systems used to make them and also modify existing products or processes to increase efficiency or improve performance.",StrongmathsandITskillsAcreativeflairanddesignabilityGoodvisualandspatialawarenessAttentiontodetailProblemsolvingWrittenandoralcommunication|Commercial|awareness|Excellentprojectmanagementskills|
Project Engineer,Sipra Labs Limited,Hyderabad/Secunderabad,3-7years,250000 - 400000 INR,"3+ years of Proven working experience in Design and Development of Mobile application and Hybrid app development |  Strong Development Experience in Ionic, Apache Cordova (capacitor), etc. |  Experience with one or more JavaScript frameworks such as Angula",Self-Learner|AnalyticalMind|LogicalreasoningSelf-motivatedandquicklearnerStrongcommunicationskillstointeractwiththeclientStrongproblemsolving/troubleshootingskills|
System Engineer,Ampler Technologies Private Limited,Hyderabad/Secunderabad,1-5years,Not Specified,"Looking for an experienced Systems Engineer to join our team! As a Systems Engineer, you will be responsible for planning, implementing and maintaining new and existing systems and infrastructure and will have an opportunity to advance in your career",computernetworking;hardware;Problem-solvingskills;Criticalthinkingskills;Communicationskills.|
Urgently Required Network Engineer for L3,S S I Security And Facilities Services,Hyderabad/Secunderabad,2-4years,380000 - 420000 INR,·         Collaborate & partner with the sales team to identify customer business need in competitive situations |     |    ·         Assist sales team to respond to technical specifications of Tenders and RFPs by providing system configurations and recommend,Goodanalyticalandproblem-solvingskills.|
Full Stack Developer,Gautam Consultancy,Delhi,3-4years,Not Specified,Developing front end website architecture. Designing user interactions on web pages. Developing back end website applications. Creating servers and databases for functionality.,ExcellentWrittenAndVerbalCommunicationSkills|withastrongattentiontodetailandaheadforproblemsolving.|
Golden Chance For Freshers! BPO Jobs ~ Voice Process ~ Banking Domain ~ E-commerce @Vadodara/Baroda,Mukesh Oil Corporation,Vadodara,0-2years,100000 - 150000 INR,"-Required candidates with fluent English |  -Day shift for girls |  -Graduates, in any specialization preferred |   |  Regards, |  Himanchi Kothari (HR Consultant) |  Call or Whatsapp on : 7069081113 |  Email your CV on : himanchikothari.gc @gmail.com ( no space) |",Freshers|Bpo|e-commerce|Graduates|Bpo|BankingProcess|VoiceProcess|CallCenter|FluentEnglish|CommunicationSkills|Aviation|Hospitality|CustomerHandling|CustomerService|CallHandling|CustomerComplaints|CustomerCare|ProblemSolving|Kpo|
Metallurgical Engineering,Manheer Singh (Proprietor Of BigBoss Decor),Mumbai|Pune,2-7years,Not Specified,Multiple Openings for Metallurgical Engineer with Our Client located at Mumbai/Pune.,MetallurgicalEngineer|AnalyticalSkills|Mathandscienceskills|TeamCoordination|Problem-solvingskills|CommunicationSkills|
