jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software Engineer / Senior Software Engineer,Mindteck (India) Limited,Bengaluru/Bangalore,4-8years,Not Specified,Experience in storage Domain on system side (Platform). Experience in Virtualization. Linux Experience at Application Level,Virtualization|Platform|linux|python|
Software Engineer / Senior Software Engineer,Mindteck (India) Limited,Bengaluru/Bangalore,4-9years,Not Specified,"Expertise on Virtualization, NIC and Networking. Manual testing experience. Experience in Functional testing, Regression Testing",NIC|Network|Networking|ManualTesting|VIRTUALIZATION|
Job opportunity | End client: wipro pvt limited,Outworks Solutions Private Limited,Bengaluru/Bangalore,2-5years,Not Specified,Greetings from the OutworX !!! |  This is a permanent opening with us i.e.  OutworX Solutions Pvt. Ltd. and we are urgently hiring contractual position for our client side- wipro pvt ltd.,WindowsServer|WindowsAdmin|WindowsServerAdmin|WindowsAdministration|Vmware|Virtualization|Windows|Vmwareadmin|Hyper|
Linux System Administrator for Bahrain,Vinirma Consulting Private Limited,Bahrain,5-10years,Not Specified,Urgent hiring for Linux System Administrator for Bahrain. 5-10 years of  system administration experience.,HPEStorage|.|Linux|Systemadministrator|virtualization|Vmware|Linux|Solaris|Backup|
Technical Account Manager/Support Engineer Storage/ Implementation,NewCloud Networks,Mumbai|MumbaiCity|NaviMumbai|Thane,5-15years,310000 - 1010000 INR,We are sourcing candidates for the below mentioned requirement. For IT company job location is in Mumbai. With various locations as required by client.,SDDC|NSX-T|Netabackup|HitachiVantara|SQL-DB|Vmware|Netapp|Vsan|Vrops|Commvault|Veeam|Networker|Backup|Storage|NetappStorage|Emc|Database|Virtualization|Nutanix|
Network Engineer,Adal Immigrations LLP,Bengaluru/Bangalore,3-8years,Not Specified,"Network Engineer for our Tier 2 to support our Cloud Infrastructure with networking, virtual networking and customer network infrastructure.",Troubleshooting|Ccna|Fortinet|CiscoAsa|Firewalls|Vlans|Networking|Virtualization|Nsx|VpnConfiguration|
VMWARE ADMINISTRATOR/Hiring for Abroad,Quess IT Staffing (Formerly known as Magna Infotech),Australia|Canada,2-7years,2000000 - 4500000 INR,Providing R D for released products by addressing product issues in customer environments by analyzing complex customer and or internal reported problems.,Activedirectory|Intel|TroubleShooting|Maintenance|Installation|Vmware|Windows|Vmwareadmin|Virtualization|Esx|Citrix|Antivirus|TechnicalSupport|Configuration|
Linux Kubernetes - Bangalore Location,NewCloud Networks,Chennai,4-7years,Not Specified,"Linux Kubernetes , Python, AWS, Powershell,Virtualization, Vsphere",LinuxKubernetes|Python|AWS|Powershell|Virtualization|Vsphere|
Vacancies- Software Developer -python & DATA Engineering!,Career Carnival LLP,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-1years,320000 - 380000 INR,we are hiring,MechanicalEngineering|highperformancecomputing|Hardware|CloudComputing|Virtualization|SoftwareDevelopment|Programmer|InformationTechnology|
Project Coordinator,CoreIT Services Private Limited,Bengaluru/Bangalore,2-7years,Not Specified,"Managing and Coordinating Project tasks and Service Requests on all Cloud Services, Managed Services, and Network Services for customer facing projects. Responsibilities include planning, implementing, monitoring and reporting on projects.",Projectmanagement|connectwise|backupasaservice|DisasterRecovery|CloudServices|InfrastructureServices|virtualization|
